candId,TO,V,officeId
816,3.42%,342,146
817,13.51%,4737,42
818,3.14%,1496,24
819,3.38%,1460,26
820,3.21%,1531,38
821,3.21%,377,46
822,2.57%,315,85
824,3.98%,271,93
828,4.25%,486,99
829,4.79%,610,100
831,2.81%,332,128
833,3.24%,405,153
834,1.79%,197,185
835,3.40%,1621,12
837,4.51%,2136,22
838,14.09%,678,131
839,3.24%,1379,21
840,3.24%,1543,24
841,3.86%,1637,25
842,3.01%,1332,28
843,2.86%,1123,32
844,1.82%,984,36
845,4.80%,1943,37
846,3.84%,1961,43
847,4.09%,249,50
848,6.14%,663,60
849,4.51%,364,69
850,5.71%,307,70
851,2.59%,319,72
852,3.16%,407,73
853,5.05%,671,75
854,4.57%,560,94
855,6.04%,723,95
856,6.03%,451,96
857,4.35%,406,101
858,3.75%,443,128
859,6.53%,641,132
860,6.36%,505,139
861,6.34%,471,141
862,12.96%,1374,145
863,4.41%,441,146
864,6.79%,696,147
865,6.30%,539,151
866,4.78%,576,152
867,6.01%,490,156
868,4.42%,249,157
869,3.17%,203,163
870,3.25%,363,165
871,3.44%,384,165
872,3.83%,256,174
873,8.99%,824,186
875,2.10%,6563,3
876,3.03%,829,8
879,4.83%,264,374
880,11.08%,832,398
882,2.35%,126,70
883,2.36%,874,35
884,12.21%,1288,172
885,1.93%,155,195
886,3.36%,1600,375
887,3.19%,177,392
888,6.55%,5796,429
890,3.27%,1390,11
891,4.37%,1890,26
892,1.88%,736,30
893,2.13%,941,33
896,5.83%,346,51
897,3.12%,322,57
898,3.56%,411,58
899,3.23%,373,58
900,2.48%,323,59
901,2.77%,319,63
902,1.83%,260,64
903,1.92%,253,66
905,1.17%,151,73
906,4.78%,605,77
907,3.26%,319,78
908,2.93%,399,81
909,3.57%,434,82
910,5.47%,411,87
911,3.09%,232,87
912,4.70%,483,88
913,8.95%,610,93
914,2.25%,210,101
915,4.11%,433,103
916,3.43%,408,137
917,2.84%,243,151
918,3.36%,405,152
919,5.36%,302,157
920,2.16%,234,180
921,2.80%,282,184
922,17.52%,1125,192
923,1.50%,4949,4
924,12.90%,1070,53
925,2.22%,300,182
926,5.51%,87948,201
927,4.37%,13665,3
928,6.85%,22608,4
929,6.88%,21298,5
931,3.96%,1453,10
932,4.45%,1456,14
934,6.43%,2705,27
935,3.05%,1196,30
936,4.03%,897,31
937,2.79%,1402,40
938,2.97%,401,52
939,4.71%,392,55
940,4.88%,503,57
941,6.72%,433,71
942,4.45%,423,105
943,5.41%,530,106
944,3.07%,346,114
945,4.07%,336,120
946,10.93%,647,143
947,14.86%,1569,161
948,6.41%,525,162
949,3.51%,380,180
950,6.27%,1640,18
951,6.68%,557,112
952,3.78%,421,125
953,3.38%,340,184
954,9.32%,532,187
955,18.84%,1736,189
956,1.14%,18190,201
957,0.54%,75,61
958,1.62%,5071,6
959,6.81%,783,97
961,3.86%,1562,37
962,1.39%,22841,1
963,2.96%,48676,1
964,1.05%,16713,201
965,5.60%,573,92
967,1.54%,217,76
968,54.42%,5044,91
976,17.28%,935,437
977,18.63%,1008,437
978,16.34%,884,437
979,16.28%,881,437
980,16.17%,875,437
981,15.29%,827,437
982,10.35%,640,436
983,11.64%,720,436
984,10.19%,630,436
985,11.74%,726,436
986,10.51%,650,436
987,11.42%,706,436
988,10.77%,666,436
989,12.15%,751,436
